,cluster,prometheus,prometheus_replica,_sample_start,_sample_end,_min_time,_max_time,_count,_sum,_min,_max
0,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 06:00:00,2022-05-30 06:15:00,2022-05-30 06:00:20,2022-05-30 06:14:50,30,205.9251826826313,6.361047619053474,7.2327552986500985
1,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 06:15:00,2022-05-30 06:30:00,2022-05-30 06:15:20,2022-05-30 06:29:50,30,201.34835881155107,6.377428571436377,6.9659047619018395
2,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 06:30:00,2022-05-30 06:45:00,2022-05-30 06:30:20,2022-05-30 06:44:50,30,201.88161581458144,6.268571428566554,7.139619047616035
3,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 06:45:00,2022-05-30 07:00:00,2022-05-30 06:45:20,2022-05-30 06:59:50,30,203.14515309713747,6.374095238102157,7.275904761908933
4,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 07:00:00,2022-05-30 07:15:00,2022-05-30 07:00:20,2022-05-30 07:14:50,30,209.78309538848194,6.610070867013329,7.479142857154479
5,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 07:15:00,2022-05-30 07:30:00,2022-05-30 07:15:20,2022-05-30 07:29:50,30,201.8574303986715,6.304190476181074,7.030476190480183
6,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 07:30:00,2022-05-30 07:45:00,2022-05-30 07:30:20,2022-05-30 07:44:50,30,206.86863922101085,6.315238095236767,7.548918074777265
7,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 07:45:00,2022-05-30 08:00:00,2022-05-30 07:45:20,2022-05-30 07:59:50,30,204.11080116373924,6.477714285720139,7.1089889597174745
8,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 08:00:00,2022-05-30 08:15:00,2022-05-30 08:00:20,2022-05-30 08:14:50,30,209.14178400695175,6.4482857142796846,7.570914509243162
9,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 08:15:00,2022-05-30 08:30:00,2022-05-30 08:15:20,2022-05-30 08:29:50,30,202.64727133497243,6.449927067991855,7.27257142856806
10,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 08:30:00,2022-05-30 08:45:00,2022-05-30 08:30:20,2022-05-30 08:44:50,30,204.04384069513293,6.35980952381866,7.163111533191447
